operation,timestamp,datetime,cpu_percent,memory_mb,execution_time_ms
register_euicc,1749701777.1829636,2025-06-12 13:16:17.182,10.87,2.68,0.17969001783058047
create_isdp,1749701777.1843257,2025-06-12 13:16:17.184,9.28,2.29,0.12610299745574594
install_profile,1749701777.186325,2025-06-12 13:16:17.186,27.34,8.08,0.33660000190138817
enable_profile,1749701777.187922,2025-06-12 13:16:17.187,9.67,1.69,0.11387799168005586
install_profile,1749701777.1894138,2025-06-12 13:16:17.189,22.16,10.33,0.15207802061922848
key_establishment,1749701777.1913528,2025-06-12 13:16:17.191,21.92,3.79,0.4070199793204665
status_verification,1749701777.1926098,2025-06-12 13:16:17.192,3.39,0.82,0.10542100062593818
status_verification,1749701777.1937525,2025-06-12 13:16:17.193,3.29,0.65,0.07862699567340314
status_verification,1749701777.194731,2025-06-12 13:16:17.194,3.77,0.66,0.07843799539841712
prepare_profile,1749701777.864222,2025-06-12 13:16:17.864,17.91,6.43,0.24565900093875825
key_establishment,1749701777.8661795,2025-06-12 13:16:17.866,23.35,5.8,0.338420009939
key_establishment,1749701777.8677943,2025-06-12 13:16:17.867,23.6,4.42,0.2034009958151728
register_euicc,1749701777.8694096,2025-06-12 13:16:17.869,14.94,4.15,0.16191901522688568
create_isdp,1749701777.8722603,2025-06-12 13:16:17.872,8.18,2.56,0.3382079885341227
install_profile,1749701777.875416,2025-06-12 13:16:17.875,26.2,7.87,0.6342999986372888
enable_profile,1749701777.8781776,2025-06-12 13:16:17.878,7.76,1.91,0.2633010153658688
install_profile,1749701777.8806756,2025-06-12 13:16:17.880,27.71,7.22,0.22609700681641698
key_establishment,1749701777.882609,2025-06-12 13:16:17.882,19.93,6.9,0.36394200287759304
status_verification,1749701777.8843281,2025-06-12 13:16:17.884,2.73,1.31,0.12104798224754632
status_verification,1749701777.8854902,2025-06-12 13:16:17.885,2.8,1.01,0.07924000965431333
status_verification,1749701777.8865304,2025-06-12 13:16:17.886,3.25,1.06,0.07101701339706779
prepare_profile,1749701778.198869,2025-06-12 13:16:18.198,17.43,4.97,0.2498330140952021
key_establishment,1749701778.2007344,2025-06-12 13:16:18.200,23.58,4.92,0.3127719974145293
key_establishment,1749701778.2023194,2025-06-12 13:16:18.202,23.03,6.91,0.19154499750584364
register_euicc,1749701778.2038374,2025-06-12 13:16:18.203,14.85,5.87,0.15278198407031596
create_isdp,1749701778.205357,2025-06-12 13:16:18.205,8.85,4.39,0.13160399976186454
install_profile,1749701778.207108,2025-06-12 13:16:18.207,25.73,7.59,0.33122600871138275
enable_profile,1749701778.2086082,2025-06-12 13:16:18.208,10.76,1.92,0.14149700291454792
install_profile,1749701778.2100582,2025-06-12 13:16:18.210,20.99,6.64,0.15966000501066446
key_establishment,1749701778.211645,2025-06-12 13:16:18.211,22.31,3.28,0.3227470151614398
status_verification,1749701778.2127628,2025-06-12 13:16:18.212,3.52,0.55,0.10455900337547064
status_verification,1749701778.213786,2025-06-12 13:16:18.213,3.07,0.68,0.07643899880349636
status_verification,1749701778.2148113,2025-06-12 13:16:18.214,2.94,0.66,0.07527798879891634
prepare_profile,1749701778.8908489,2025-06-12 13:16:18.890,14.31,6.34,0.23647298803552985
key_establishment,1749701778.892702,2025-06-12 13:16:18.892,17.05,7.24,0.3079579910263419
key_establishment,1749701778.894369,2025-06-12 13:16:18.894,20.07,5.83,0.19419897580519319
