timestamp,vus,iterations,cpu_percent,mem_percent,memory_mb
2025-07-12T11:39:00.141Z,199,12339,5.40,18.10,1557.86
2025-07-12T11:39:02.901Z,204,12891,4.20,18.20,1565.36
2025-07-12T11:39:05.292Z,208,13363,5.40,18.10,1572.86
2025-07-12T11:39:07.675Z,212,13860,5.90,18.30,1577.92
2025-07-12T11:39:11.175Z,217,14582,3.30,18.30,1586.55
2025-07-12T11:39:13.030Z,220,14924,3.30,18.30,1591.61
2025-07-12T11:39:16.116Z,226,15591,22.30,18.30,1599.67
2025-07-12T11:39:19.224Z,231,16308,4.60,18.30,1609.23
2025-07-12T11:39:21.509Z,235,16844,4.60,18.40,1616.17
2025-07-12T11:39:24.019Z,239,17427,3.80,18.40,1624.05
2025-07-12T11:39:26.371Z,243,17987,4.20,18.40,1631.17
2025-07-12T11:39:29.866Z,249,18843,4.20,18.50,1642.61
2025-07-12T11:39:32.556Z,253,19485,20.20,18.50,1651.23
2025-07-12T11:39:35.546Z,258,20242,5.00,18.60,1660.80
2025-07-12T11:39:38.118Z,262,20910,17.70,18.50,1669.98
2025-07-12T11:39:40.537Z,266,21562,4.60,18.50,1678.23
2025-07-12T11:39:43.446Z,271,22327,2.50,18.60,1688.36
2025-07-12T11:39:46.177Z,276,23063,5.50,18.60,1697.73
2025-07-12T11:39:48.380Z,279,23670,4.60,18.60,1705.80
2025-07-12T11:39:51.036Z,284,24403,5.00,18.70,1715.17
2025-07-12T11:39:54.037Z,289,25229,3.80,18.70,1726.23
2025-07-12T11:39:56.417Z,293,25918,3.40,18.70,1735.23
2025-07-12T11:39:58.702Z,297,26571,7.10,18.70,1744.23
2025-07-12T11:40:01.667Z,302,27461,3.80,18.80,1756.05
2025-07-12T11:40:03.997Z,305,28038,4.60,18.80,1762.42
2025-07-12T11:40:07.002Z,310,28948,4.20,19.00,1774.05
2025-07-12T11:40:09.068Z,314,29598,6.80,18.90,1782.67
2025-07-12T11:40:12.290Z,319,30619,3.30,19.00,1796.17
2025-07-12T11:40:14.515Z,323,31324,4.20,19.00,1805.73
2025-07-12T11:40:16.670Z,327,32017,4.20,19.00,1814.36
2025-07-12T11:40:19.520Z,331,32936,4.20,19.10,1826.55
2025-07-12T11:40:22.224Z,336,33822,5.40,19.10,1838.55
2025-07-12T11:40:25.292Z,341,34846,9.70,19.50,1851.86
2025-07-12T11:40:27.714Z,345,35649,8.00,19.60,1862.55
2025-07-12T11:40:30.193Z,349,36512,4.20,19.60,1873.61
2025-07-12T11:40:32.695Z,355,37380,15.90,19.90,1885.42
2025-07-12T11:40:35.307Z,362,38299,4.20,19.90,1897.05
2025-07-12T11:40:37.652Z,368,39142,5.80,19.90,1908.30
2025-07-12T11:40:39.724Z,373,39894,13.30,20.10,1918.42
2025-07-12T11:40:42.155Z,379,40821,6.70,20.10,1930.42
2025-07-12T11:40:44.781Z,385,41653,8.80,20.20,1939.61
2025-07-12T11:40:48.008Z,393,42905,11.40,20.30,1959.67
2025-07-12T11:40:50.041Z,398,43693,8.40,20.30,1966.80
2025-07-12T11:40:52.836Z,405,44790,5.90,20.40,1981.05
2025-07-12T11:40:55.064Z,411,45684,4.70,20.40,1992.48
2025-07-12T11:40:57.063Z,416,46494,2.50,20.30,2003.73
2025-07-12T11:40:59.613Z,422,47567,5.40,20.30,2017.61
2025-07-12T11:41:02.394Z,429,48738,6.00,20.30,2032.98
2025-07-12T11:41:04.670Z,435,49693,4.60,20.30,2046.30
2025-07-12T11:41:07.417Z,442,50900,4.60,20.60,2061.67
2025-07-12T11:41:10.168Z,449,52108,12.10,20.70,2077.23
2025-07-12T11:41:12.536Z,455,53161,6.30,20.70,2090.92
2025-07-12T11:41:15.003Z,461,54251,7.10,20.70,2105.92
2025-07-12T11:41:17.484Z,467,55389,15.50,20.70,2120.73
2025-07-12T11:41:20.868Z,476,56696,4.20,20.70,2136.11
2025-07-12T11:41:23.735Z,483,58044,8.40,20.70,2153.92
2025-07-12T11:41:26.710Z,490,59465,6.70,20.80,2172.86
2025-07-12T11:41:29.165Z,496,60660,5.10,20.90,2191.98
2025-07-12T11:41:32.468Z,500,62278,7.10,21.00,2209.98
2025-07-12T11:41:35.661Z,500,63866,3.80,21.00,2230.61
2025-07-12T11:41:37.936Z,500,64982,6.30,21.20,2244.48
2025-07-12T11:41:39.980Z,500,65996,10.20,21.30,2257.80
2025-07-12T11:41:42.430Z,500,67191,9.20,21.40,2273.55
2025-07-12T11:41:45.569Z,500,68731,8.00,21.70,2293.98
